,genres,item_name,release_date,price,item_id,developer
167,"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,2008,4.99,11240,Meridian4
168,['Simulation'],PRR Wagon Pack 01,2009,4.99,256522,RailSimulator.com
169,['Simulation'],"Class 421 London South East ""Jaffa Cake""",2009,4.99,275144,RailSimulator.com
170,['Simulation'],ATSF Wagon Pack 01,2009,4.99,256521,RailSimulator.com
171,['Simulation'],GP20 Union Pacific Add-on Livery,2009,4.99,222569,Reppo
172,['Simulation'],UK Van Wagon Pack,2009,4.99,256535,RailSimulator.com
173,['Simulation'],CSX SD70MAC Add-on Livery,2009,4.99,256611,Dovetail Games
174,['Simulation'],CSX ES44AC Add-on Livery,2009,4.99,256576,Dovetail Games
175,['Action'],Saints Row 2,2009,9.99,9480,Volition
176,['Action'],Dead Space,2008,19.99,17470,EA Redwood Shores
177,['RPG'],Rise of the Argonauts,2008,9.99,12770,Liquid Entertainment
178,"['Action', 'Adventure']",Mirror's Edge™,2009,19.99,17410,DICE
179,"['Indie', 'Strategy']",Defense Grid: The Awakening,2008,9.99,18500,Hidden Path Entertainment
180,['Action'],F.E.A.R. 2: Project Origin,2009,14.99,16450,Monolith
181,"['Strategy', 'Indie']",Harvest: Massive Encounter,2008,7.99,15400,Oxeye Game Studio
182,"['Indie', 'Strategy']",Mayhem Intergalactic,2007,9.99,18600,Inventive Dingo
183,"['Action', 'Indie']",Larva Mortus,2009,4.99,11340,Meridian4
184,['Strategy'],Knights of Honor,2005,9.99,25830,Black Sea Studios Ltd
185,"['Action', 'Adventure', 'Strategy']",Ceville,2009,5.99,23460,Realmforge Studios
186,['Strategy'],Empire: Total War™ - Special Forces Units & Bonus Content,2009,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
187,['Action'],Watchmen: The End is Nigh,2009,4.99,21010,Deadline Games
188,"['Action', 'Adventure', 'Indie']",Penumbra Overture,2007,9.99,22180,Frictional Games
189,['Action'],Unreal Tournament 3 Black,2007,19.99,13210,"Epic Games, Inc."
190,['RPG'],Drakensang,2009,9.99,12640,Radon Labs
191,"['Indie', 'Simulation']",The Graveyard,2008,4.99,27020,Tale of Tales
192,['Racing'],Burnout Paradise: The Ultimate Box,2009,19.99,24740,Criterion Games
193,"['Action', 'Indie']",The Maw,2009,9.99,26000,Twisted Pixel Games
194,"['Action', 'Indie']",The Maw: River Redirect,2009,1.25,26006,Twisted Pixel Games
195,"['Action', 'Indie']",The Maw: Brute Force,2009,1.25,26005,Twisted Pixel Games
196,"['Casual', 'Indie']",Obulis,2009,4.99,11330,IonFX
197,['Indie'],Space Giraffe,2009,9.99,27800,Llamasoft LTD
198,"['Simulation', 'Strategy']",Codename: Panzers - Cold War,2009,14.99,9850,"InnoGlow,Stormregion,THQ Nordic"
199,['Casual'],Escape Rosecliff Island,2009,4.99,3600,SpinTop Games
200,"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall,2006,19.99,29580,ArenaNet®
201,"['RPG', 'Massively Multiplayer']",Guild Wars,2005,19.99,29540,ArenaNet®
202,"['RPG', 'Massively Multiplayer']",Guild Wars Factions,2006,19.99,29560,ArenaNet®
203,"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,2008,29.99,29570,ArenaNet®
204,['Casual'],Puzzle Kingdoms,2009,14.99,23700,Infinite Interactive
205,['Casual'],Samantha Swift and the Golden Touch,2009,9.99,16060,MumboJumbo
206,['RPG'],Two Worlds Epic Edition,2009,9.99,1930,Reality Pump Studios
207,['Strategy'],Helldorado,2009,9.99,18470,Spellbound
208,"['Action', 'Adventure', 'RPG']",X-Blades,2009,9.99,7510,Gaijin Entertainment
209,"['Action', 'Indie']",Zeno Clash,2009,9.99,22200,ACE Team
210,['Indie'],The Maw: Speeder Lane,2009,1.25,26007,Twisted Pixel Games
211,"['RPG', 'Strategy']",King's Bounty: The Legend,2008,6.99,25900,1C Company
212,"['Casual', 'Simulation']",Virtual Families,2009,9.99,16200,Last Day of Work
213,['Racing'],Death Track®: Resurrection,2009,2.99,7840,Sky Fallen
214,"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,2005,4.99,8890,Irrational Games
215,"['RPG', 'Strategy']",Freedom Force,2002,4.99,8880,Irrational Games
216,"['Indie', 'Simulation', 'Strategy']",Light of Altair,2009,14.99,34500,SaintXi
217,"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,2009,0.0,1280,Darklight Games
218,"['Action', 'Adventure']",Prototype™,2009,19.99,10150,Radical Entertainment
219,['Strategy'],Port Royale 2,2004,4.99,12470,Ascaron Entertainment ltd.
220,['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007,14.99,22330,Bethesda Game Studios
221,['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,2002,14.99,22320,Bethesda Game Studios
222,['Adventure'],Ankh 2: Heart of Osiris,2007,4.99,12440,Deck 13
223,['Simulation'],Armored Fist 3,1999,9.99,32710,NovaLogic
224,['Simulation'],MiG-29 Fulcrum,1998,9.99,32740,NovaLogic
225,['Strategy'],BC Kings,2008,4.99,12460,Mascot Entertainment
226,['Action'],Call of Juarez®: Bound in Blood,2009,9.99,21980,Techland
227,['Adventure'],Nancy Drew®: Legend of the Crystal Skull,2007,6.99,31860,HeR Interactive
228,['Adventure'],Nancy Drew®: The Creature of Kapu Cave,2006,6.99,31900,HeR Interactive
229,['Adventure'],Nancy Drew®: The Phantom of Venice,2008,6.99,31920,HeR Interactive
230,['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,2007,6.99,31930,HeR Interactive
231,"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,2008,0.0,35800,Digital Eel
232,['Adventure'],Tales of Monkey Island Complete Pack,2009,19.99,31170,Telltale Games
233,['Action'],Street Fighter® IV,2009,19.99,21660,Capcom
234,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,2007,9.99,6080,Frontier
235,['Adventure'],Indiana Jones® and the Fate of Atlantis™,1992,5.99,6010,LucasArts
236,['Action'],Armed and Dangerous®,2003,5.99,6090,Planet Moon Studios
237,['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",2005,9.99,6060,Pandemic Studios
238,['Adventure'],Indiana Jones® and the Last Crusade™,1989,5.99,32310,LucasArts
239,"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,2008,19.99,32330,Traveller's Tales
240,['Adventure'],The Secret of Monkey Island: Special Edition,2009,9.99,32360,LucasArts
241,['Strategy'],Warfare,2008,12.99,35300,GFI Russia
242,"['Action', 'Racing']",Clutch,2009,9.99,35310,Targem Games
243,['Adventure'],Nancy Drew®: Ransom of the Seven Ships,2009,6.99,31980,HeR Interactive
244,['Sports'],3D Ultra™ Minigolf Adventures,2006,9.99,10140,Wanako Games
245,['Adventure'],King's Quest™ Collection,2006,19.99,10100,Sierra
246,['Action'],TimeShift™,2007,19.99,10130,Saber Interactive
247,['Adventure'],Space Quest™ Collection,2006,19.99,10110,Sierra
248,['Action'],Killing Floor Outbreak Character Pack,2009,7.99,1256,Tripwire Interactive
249,"['Action', 'Casual']",Aces of the Galaxy™,2008,9.99,10120,Artech Studios
250,"['Simulation', 'Strategy']",Tropico Reloaded,2009,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software"
251,['Casual'],Mystery P.I. - Lost in Los Angeles,2009,4.99,3610,SpinTop Games
252,['Action'],Bionic Commando: Rearmed,2008,9.99,21680,Capcom
253,"['Action', 'Adventure']",Bionic Commando,2009,9.99,21670,Capcom
254,['Action'],Watchmen: The End is Nigh Part 2,2009,4.99,21030,Deadline Games
255,"['Action', 'Indie']",Foreign Legion: Buckets of Blood,2009,4.99,36000,Sakari Indie
256,"['Adventure', 'RPG']",STAR WARS™ - Knights of the Old Republic™,2003,9.99,32370,"BioWare,Aspyr (Mac)"
257,"['Indie', 'Casual']",Osmos,2009,9.99,29180,Hemisphere Games
258,['RPG'],Fallout 2: A Post Nuclear Role Playing Game,1998,9.99,38410,Black Isle Studios
259,['Strategy'],Fallout Tactics: Brotherhood of Steel,2001,9.99,38420,14° East
260,['Action'],Kingpin — Life of Crime,1999,9.99,38430,Xatrix Entertainment
261,['Adventure'],Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009,19.99,31180,Telltale Games
262,['Casual'],Jewel Quest Pack,2009,19.99,37960,iWin
263,['Casual'],Mahjong Quest Collection,2009,9.99,38000,iWin
264,"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009,4.99,37400,Size Five Games
265,['Action'],Tom Clancy's Splinter Cell Chaos Theory®,2005,9.99,13570,Ubisoft Montreal
266,['Strategy'],XIII Century – Gold Edition,2009,4.99,34420,Unicorn Games Studio
267,['Simulation'],World of Zoo,2009,14.99,43100,Blue Fang
268,"['Action', 'Adventure']",Mini Ninjas,2009,9.99,35000,IO Interactive
269,['Casual'],Freeze Tag Fun Pack #2,2009,19.99,39392,"Freeze Tag Inc.,iQ212"
270,['Casual'],Freeze Tag Fun Pack #1,1999,19.99,39391,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment"
271,"['Adventure', 'Casual', 'Indie']",Windosill,2009,2.99,37600,"Vectorpark, Inc."
272,['Simulation'],Train Simulator: Colton & Northern Route Add-On,2009,24.99,24029,All Aboard
273,"['Adventure', 'Casual']",Midnight Mysteries,2009,9.99,32140,MumboJumbo
274,['Adventure'],Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009,19.99,31190,Telltale Games
275,['Action'],Joint Operations: Combined Arms Gold,2009,19.99,32770,NovaLogic
276,['Simulation'],Train Simulator: US Loco & Asset Pack,2009,17.99,208306,Dovetail Games
277,['Simulation'],DinerTown Tycoon,2009,9.99,37300,PlayFirst
278,['Simulation'],Train Simulator: European Loco & Asset Pack,2009,19.99,208300,Dovetail Games
279,['RPG'],Risen,2009,9.99,40300,Piranha Bytes
280,['Casual'],Flora's Fruit Farm,2009,3.99,35070,Honeyslug
281,['Strategy'],Empire: Total War™ - The Warpath Campaign,2009,9.99,10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
282,"['Adventure', 'Indie']",Machinarium,2009,9.99,40700,Amanita Design
283,['Action'],Medal of Honor: Airborne,2007,9.99,24840,EA Los Angeles
284,['Racing'],Need for Speed: Shift,2009,19.99,24870,Slightly Mad Studios
285,['RPG'],Torchlight,2009,14.99,41500,Runic Games
286,['Strategy'],Command & Conquer: Red Alert 3 - Uprising,2009,19.99,24800,EA Los Angeles
287,['Strategy'],The Stronghold Collection,2009,19.99,901735,FireFly Studios
288,['Strategy'],East India Company: Privateer,2009,4.99,42800,Nitro Games
289,['Action'],Painkiller: Resurrection,2009,9.99,39560,Homegrown Games
290,"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,2009,14.99,39550,"Phenomic,THQ Nordic"
291,['Adventure'],Secret Files: Tunguska,2009,9.99,40330,Animation Arts
292,['Strategy'],Rush for Berlin Gold,2009,4.99,40320,Stormregion
293,['Adventure'],Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009,19.99,31200,Telltale Games
294,['Strategy'],Men of War: Red Tide,2009,4.99,3130,1C Company
295,"['Action', 'Indie']",Hammerfight,2009,4.99,41100,Konstantin Koshutin
296,"['Action', 'RPG']",SpellForce - Platinum Edition,2009,9.99,39540,Phenomic
297,['Strategy'],Massive Assault: Phantom Renaissance,2005,9.99,34640,Wargaming.net
298,['Strategy'],Massive Assault,2003,9.99,34630,Wargaming.net
299,"['Action', 'Indie']",Serious Sam HD: The First Encounter,2009,14.99,41000,Croteam
300,['Adventure'],Secret Files 2: Puritas Cordis,2009,9.99,40340,Animation Arts
301,['RPG'],Dragon Age: Origins,2009,19.99,17450,BioWare
302,"['Action', 'RPG', 'Indie']",Aztaka,2009,4.99,37100,Citeremis Inc.
303,"['Indie', 'Casual']",Magnetis,2009,1.99,37500,Yullaby
304,['Strategy'],For The Glory: A Europa Universalis Game,2009,9.99,42810,Crystal Empire Games
305,['Action'],Call of Duty®: Modern Warfare® 2,2009,19.99,10180,"Infinity Ward,Aspyr (Mac)"
306,['Adventure'],LEGO® Star Wars™ - The Complete Saga,2009,19.99,32440,"Traveller's Tales,Feral Interactive (Mac)"
307,['RPG'],Overlord™,2007,4.99,11450,"Triumph Studios,Virtual Programming"
308,['RPG'],Overlord™: Raising Hell,2008,9.99,12710,"Triumph Studios,Virtual Programming"
309,['Strategy'],Command & Conquer 3: Tiberium Wars,2007,14.99,24790,EA Los Angeles
310,"['Indie', 'Casual']",Yumsters 2: Around the World,2008,4.99,29120,KranX Productions
